log_id,aircraft_id,technician_id,maintenance_type,status,cost_usd,duration_hours,log_date,parts_replaced,notes
LOG-16390,AC-0121,TECH-0087,Landing Gear Service,pending,7463,4.4,2021-12-25,2,Emergency repair required — grounded aircraft
LOG-16391,AC-0090,TECH-0100,Landing Gear Service,complete,6711,7.1,2021-12-25,9,Scheduled maintenance — no anomalies
LOG-16392,AC-0107,TECH-0186,Landing Gear Service,complete,5431,7.5,2021-12-25,6,
LOG-16393,AC-0016,TECH-0022,Software Update,complete,805,3.0,2021-12-25,0,Replaced worn components — within tolerance
LOG-16394,AC-0099,TECH-0102,Structural Inspection,complete,6876,5.6,2021-12-25,8,Emergency repair required — grounded aircraft
LOG-16395,AC-0053,TECH-0173,Tire & Brake Replacement,complete,1336,13.6,2021-12-25,6,
LOG-16396,AC-0077,TECH-0062,Software Update,complete,2522,9.5,2021-12-25,5,Issue found during inspection — escalated
LOG-16397,AC-0093,TECH-0042,Engine Inspection,in_progress,8290,21.9,2021-12-25,4,
LOG-16398,AC-0098,TECH-0067,Hydraulic System Repair,complete,15848,3.8,2021-12-25,3,
LOG-16399,AC-0098,TECH-0137,Hydraulic System Repair,complete,7494,12.0,2021-12-25,9,Scheduled maintenance — no anomalies
LOG-16400,AC-0143,TECH-0192,Hydraulic System Repair,complete,12593,7.1,2021-12-25,9,Part ordered — awaiting delivery
LOG-16401,AC-0059,TECH-0143,Engine Inspection,in_progress,18275,11.0,2021-12-25,3,Part ordered — awaiting delivery
LOG-16402,AC-0137,TECH-0158,Structural Inspection,complete,4548,4.1,2021-12-25,4,Follow-up inspection required within 30 days
LOG-16403,AC-0026,TECH-0154,Fuel System Check,complete,4207,8.5,2021-12-25,1,Part ordered — awaiting delivery
LOG-16404,AC-0003,TECH-0094,Tire & Brake Replacement,pending,2774,12.5,2021-12-25,4,
LOG-16405,AC-0100,TECH-0197,Fuel System Check,complete,4553,5.1,2021-12-25,6,
LOG-16406,AC-0047,TECH-0122,Hydraulic System Repair,complete,8615,13.9,2021-12-25,10,
LOG-16407,AC-0005,TECH-0095,Structural Inspection,failed,5214,44.1,2021-12-25,3,Routine check completed successfully
LOG-16408,AC-0062,TECH-0127,Avionics Check,complete,12462,9.3,2021-12-25,5,Routine check completed successfully
LOG-16409,AC-0084,TECH-0022,Engine Inspection,complete,9025,5.3,2021-12-26,3,Part ordered — awaiting delivery
LOG-16410,AC-0133,TECH-0054,Avionics Check,pending,14551,9.4,2021-12-26,1,Scheduled maintenance — no anomalies
LOG-16411,AC-0138,TECH-0125,Engine Inspection,complete,14289,3.8,2021-12-26,1,Part ordered — awaiting delivery
LOG-16412,AC-0080,TECH-0058,Structural Inspection,complete,9464,5.2,2021-12-26,5,Part ordered — awaiting delivery
LOG-16413,AC-0063,TECH-0181,Fuel System Check,pending,2918,19.4,2021-12-26,9,Scheduled maintenance — no anomalies
LOG-16414,AC-0025,TECH-0099,Structural Inspection,in_progress,8406,19.2,2021-12-26,2,All systems nominal post-maintenance
LOG-16415,AC-0044,TECH-0019,Software Update,complete,857,14.5,2021-12-26,10,Issue found during inspection — escalated
LOG-16416,AC-0014,TECH-0162,Tire & Brake Replacement,complete,3958,9.1,2021-12-26,5,Scheduled maintenance — no anomalies
LOG-16417,AC-0086,TECH-0142,Avionics Check,complete,10507,2.0,2021-12-26,4,All systems nominal post-maintenance
LOG-16418,AC-0019,TECH-0022,Software Update,complete,2035,5.3,2021-12-26,8,Routine check completed successfully
LOG-16419,AC-0102,TECH-0141,Fuel System Check,complete,5246,12.1,2021-12-26,10,Issue found during inspection — escalated
LOG-16420,AC-0020,TECH-0123,Engine Inspection,failed,15830,69.9,2021-12-26,0,Routine check completed successfully
LOG-16421,AC-0079,TECH-0192,Fuel System Check,in_progress,4686,28.8,2021-12-26,0,Part ordered — awaiting delivery
LOG-16422,AC-0139,TECH-0056,Tire & Brake Replacement,complete,1188,11.3,2021-12-26,10,
LOG-16423,AC-0098,TECH-0200,Fuel System Check,complete,5870,1.8,2021-12-26,4,Emergency repair required — grounded aircraft
LOG-16424,AC-0121,TECH-0042,Hydraulic System Repair,pending,11160,18.7,2021-12-26,6,
LOG-16425,AC-0017,TECH-0066,Hydraulic System Repair,pending,15629,9.8,2021-12-26,0,
LOG-16426,AC-0050,TECH-0191,Landing Gear Service,pending,3378,16.3,2021-12-26,6,Emergency repair required — grounded aircraft
LOG-16427,AC-0010,TECH-0170,Fuel System Check,complete,2136,7.0,2021-12-26,2,
LOG-16428,AC-0149,TECH-0034,Tire & Brake Replacement,complete,3543,11.3,2021-12-26,3,
LOG-16429,AC-0058,TECH-0029,Avionics Check,complete,8129,2.3,2021-12-26,10,Replaced worn components — within tolerance
LOG-16430,AC-0095,TECH-0154,Tire & Brake Replacement,complete,4000,9.9,2021-12-26,11,Emergency repair required — grounded aircraft
LOG-16431,AC-0107,TECH-0151,Structural Inspection,pending,8300,8.0,2021-12-26,7,Follow-up inspection required within 30 days
LOG-16432,AC-0139,TECH-0036,Fuel System Check,complete,4587,2.6,2021-12-26,8,Scheduled maintenance — no anomalies
LOG-16433,AC-0033,TECH-0118,Avionics Check,complete,11049,4.3,2021-12-26,2,Follow-up inspection required within 30 days
LOG-16434,AC-0046,TECH-0009,Tire & Brake Replacement,complete,3400,8.2,2021-12-26,5,Emergency repair required — grounded aircraft
LOG-16435,AC-0129,TECH-0085,Hydraulic System Repair,complete,16774,8.4,2021-12-26,8,
LOG-16436,AC-0149,TECH-0042,Fuel System Check,in_progress,5567,21.5,2021-12-26,8,
LOG-16437,AC-0062,TECH-0067,Landing Gear Service,complete,8858,3.3,2021-12-26,1,Emergency repair required — grounded aircraft
LOG-16438,AC-0087,TECH-0007,Software Update,failed,1429,45.2,2021-12-26,6,Routine check completed successfully
LOG-16439,AC-0073,TECH-0023,Engine Inspection,pending,10749,13.5,2021-12-26,11,All systems nominal post-maintenance
LOG-16440,AC-0001,TECH-0160,Software Update,in_progress,2126,31.7,2021-12-26,0,Issue found during inspection — escalated
LOG-16441,AC-0021,TECH-0023,Hydraulic System Repair,complete,9566,9.0,2021-12-26,6,
LOG-16442,AC-0022,TECH-0016,Software Update,complete,1596,10.7,2021-12-26,0,
LOG-16443,AC-0004,TECH-0069,Hydraulic System Repair,complete,10252,12.5,2021-12-26,8,Scheduled maintenance — no anomalies
LOG-16444,AC-0065,TECH-0013,Tire & Brake Replacement,complete,2472,1.7,2021-12-26,8,
LOG-16445,AC-0063,TECH-0010,Avionics Check,in_progress,13319,31.2,2021-12-26,10,Emergency repair required — grounded aircraft
LOG-16446,AC-0143,TECH-0059,Engine Inspection,pending,9752,14.9,2021-12-26,2,
LOG-16447,AC-0036,TECH-0002,Software Update,complete,1739,7.0,2021-12-26,0,Follow-up inspection required within 30 days
LOG-16448,AC-0029,TECH-0180,Tire & Brake Replacement,complete,2179,10.1,2021-12-26,10,Scheduled maintenance — no anomalies
LOG-16449,AC-0069,TECH-0129,Hydraulic System Repair,complete,14835,6.0,2021-12-26,9,Replaced worn components — within tolerance
LOG-16450,AC-0111,TECH-0198,Landing Gear Service,complete,5093,15.4,2021-12-26,1,
LOG-16451,AC-0144,TECH-0054,Structural Inspection,complete,5593,6.7,2021-12-26,8,Follow-up inspection required within 30 days
LOG-16452,AC-0100,TECH-0019,Hydraulic System Repair,complete,14902,6.5,2021-12-26,4,
LOG-16453,AC-0041,TECH-0097,Fuel System Check,in_progress,3339,4.9,2021-12-26,3,Routine check completed successfully
LOG-16454,AC-0148,TECH-0028,Avionics Check,complete,8095,13.3,2021-12-26,8,Emergency repair required — grounded aircraft
LOG-16455,AC-0048,TECH-0133,Software Update,complete,2246,9.3,2021-12-27,10,
LOG-16456,AC-0130,TECH-0076,Hydraulic System Repair,complete,10577,8.3,2021-12-27,3,Routine check completed successfully
LOG-16457,AC-0144,TECH-0158,Avionics Check,pending,10750,13.2,2021-12-27,1,Follow-up inspection required within 30 days
LOG-16458,AC-0111,TECH-0019,Engine Inspection,complete,13818,15.9,2021-12-27,5,Part ordered — awaiting delivery
LOG-16459,AC-0062,TECH-0104,Software Update,complete,2084,14.9,2021-12-27,3,
LOG-16460,AC-0107,TECH-0042,Hydraulic System Repair,pending,13314,12.3,2021-12-27,6,
LOG-16461,AC-0106,TECH-0153,Landing Gear Service,complete,6968,13.7,2021-12-27,9,Scheduled maintenance — no anomalies
LOG-16462,AC-0132,TECH-0035,Software Update,failed,947,66.9,2021-12-27,4,
LOG-16463,AC-0113,TECH-0009,Hydraulic System Repair,complete,7914,1.1,2021-12-27,11,Issue found during inspection — escalated
LOG-16464,AC-0068,TECH-0039,Structural Inspection,complete,4671,10.2,2021-12-27,9,All systems nominal post-maintenance
LOG-16465,AC-0089,TECH-0184,Landing Gear Service,complete,7293,2.9,2021-12-27,3,
LOG-16466,AC-0078,TECH-0038,Structural Inspection,pending,9454,15.9,2021-12-27,3,
LOG-16467,AC-0075,TECH-0015,Hydraulic System Repair,complete,4360,5.5,2021-12-27,11,Replaced worn components — within tolerance
LOG-16468,AC-0025,TECH-0109,Software Update,in_progress,1002,10.5,2021-12-27,6,Part ordered — awaiting delivery
LOG-16469,AC-0007,TECH-0174,Landing Gear Service,complete,3104,10.4,2021-12-27,1,Replaced worn components — within tolerance
LOG-16470,AC-0113,TECH-0165,Landing Gear Service,complete,8657,15.8,2021-12-27,10,Part ordered — awaiting delivery
LOG-16471,AC-0036,TECH-0090,Structural Inspection,complete,3878,3.0,2021-12-27,7,Follow-up inspection required within 30 days
LOG-16472,AC-0010,TECH-0125,Software Update,complete,2985,13.1,2021-12-27,5,
LOG-16473,AC-0113,TECH-0060,Software Update,pending,992,12.2,2021-12-27,5,All systems nominal post-maintenance
LOG-16474,AC-0036,TECH-0062,Engine Inspection,complete,15675,1.6,2021-12-27,5,
LOG-16475,AC-0018,TECH-0031,Structural Inspection,complete,4460,4.4,2021-12-27,11,
LOG-16476,AC-0134,TECH-0030,Landing Gear Service,complete,5386,10.4,2021-12-27,11,
LOG-16477,AC-0135,TECH-0066,Hydraulic System Repair,complete,17386,7.1,2021-12-27,10,Scheduled maintenance — no anomalies
LOG-16478,AC-0102,TECH-0007,Hydraulic System Repair,complete,16305,5.2,2021-12-27,5,Part ordered — awaiting delivery
LOG-16479,AC-0140,TECH-0158,Engine Inspection,complete,8131,5.2,2021-12-27,2,Follow-up inspection required within 30 days
LOG-16480,AC-0025,TECH-0161,Hydraulic System Repair,complete,9059,5.0,2021-12-27,7,Issue found during inspection — escalated
LOG-16481,AC-0033,TECH-0112,Software Update,complete,2144,10.1,2021-12-27,9,Scheduled maintenance — no anomalies
LOG-16482,AC-0087,TECH-0103,Landing Gear Service,complete,7270,12.0,2021-12-27,6,Replaced worn components — within tolerance
LOG-16483,AC-0073,TECH-0111,Hydraulic System Repair,complete,17782,7.7,2021-12-27,2,Scheduled maintenance — no anomalies
LOG-16484,AC-0006,TECH-0038,Landing Gear Service,complete,9441,9.7,2021-12-27,8,Follow-up inspection required within 30 days
LOG-16485,AC-0137,TECH-0147,Software Update,pending,2022,17.2,2021-12-27,9,Emergency repair required — grounded aircraft
LOG-16486,AC-0067,TECH-0137,Software Update,pending,1486,19.3,2021-12-27,7,
LOG-16487,AC-0144,TECH-0086,Hydraulic System Repair,in_progress,6377,6.9,2021-12-27,2,Routine check completed successfully
LOG-16488,AC-0093,TECH-0160,Engine Inspection,in_progress,20070,5.6,2021-12-27,11,Follow-up inspection required within 30 days
LOG-16489,AC-0108,TECH-0158,Software Update,in_progress,592,5.5,2021-12-27,10,Scheduled maintenance — no anomalies
LOG-16490,AC-0026,TECH-0134,Hydraulic System Repair,in_progress,16986,20.4,2021-12-27,5,
LOG-16491,AC-0038,TECH-0189,Avionics Check,in_progress,8836,5.0,2021-12-27,7,Scheduled maintenance — no anomalies
LOG-16492,AC-0142,TECH-0165,Avionics Check,complete,10518,6.1,2021-12-27,10,Emergency repair required — grounded aircraft
LOG-16493,AC-0103,TECH-0079,Tire & Brake Replacement,complete,2501,13.7,2021-12-27,10,Part ordered — awaiting delivery
LOG-16494,AC-0042,TECH-0199,Software Update,complete,1412,2.7,2021-12-27,9,
LOG-16495,AC-0147,TECH-0148,Landing Gear Service,in_progress,11846,29.6,2021-12-27,10,Replaced worn components — within tolerance
LOG-16496,AC-0066,TECH-0030,Fuel System Check,complete,4032,7.9,2021-12-27,8,Scheduled maintenance — no anomalies
LOG-16497,AC-0042,TECH-0018,Landing Gear Service,in_progress,10928,21.2,2021-12-27,8,Replaced worn components — within tolerance
LOG-16498,AC-0038,TECH-0191,Hydraulic System Repair,complete,6725,14.9,2021-12-27,5,
LOG-16499,AC-0141,TECH-0189,Avionics Check,complete,10420,5.2,2021-12-27,3,Issue found during inspection — escalated
LOG-16500,AC-0106,TECH-0185,Hydraulic System Repair,pending,10801,19.1,2021-12-28,7,
LOG-16501,AC-0096,TECH-0150,Landing Gear Service,complete,6511,14.4,2021-12-28,5,Issue found during inspection — escalated
LOG-16502,AC-0070,TECH-0088,Tire & Brake Replacement,in_progress,2862,26.6,2021-12-28,8,Part ordered — awaiting delivery
LOG-16503,AC-0038,TECH-0095,Structural Inspection,complete,3934,1.1,2021-12-28,9,
LOG-16504,AC-0097,TECH-0177,Avionics Check,complete,12932,11.2,2021-12-28,5,Follow-up inspection required within 30 days
LOG-16505,AC-0108,TECH-0018,Tire & Brake Replacement,failed,3351,60.0,2021-12-28,11,Routine check completed successfully
LOG-16506,AC-0119,TECH-0061,Avionics Check,in_progress,6187,15.0,2021-12-28,7,Issue found during inspection — escalated
LOG-16507,AC-0074,TECH-0082,Structural Inspection,failed,5873,71.7,2021-12-28,4,Part ordered — awaiting delivery
LOG-16508,AC-0057,TECH-0078,Fuel System Check,pending,5745,5.6,2021-12-28,6,
LOG-16509,AC-0110,TECH-0196,Tire & Brake Replacement,in_progress,4747,26.9,2021-12-28,1,Follow-up inspection required within 30 days
LOG-16510,AC-0079,TECH-0135,Fuel System Check,complete,5954,9.5,2021-12-28,7,
LOG-16511,AC-0036,TECH-0135,Structural Inspection,complete,3770,7.8,2021-12-28,11,Follow-up inspection required within 30 days
LOG-16512,AC-0057,TECH-0065,Avionics Check,complete,13034,12.6,2021-12-28,1,Issue found during inspection — escalated
LOG-16513,AC-0129,TECH-0040,Fuel System Check,complete,4166,4.0,2021-12-28,0,All systems nominal post-maintenance
LOG-16514,AC-0003,TECH-0116,Avionics Check,in_progress,12710,9.4,2021-12-28,2,Scheduled maintenance — no anomalies
LOG-16515,AC-0014,TECH-0024,Avionics Check,pending,11483,9.9,2021-12-28,7,Emergency repair required — grounded aircraft
LOG-16516,AC-0034,TECH-0160,Landing Gear Service,failed,5145,52.2,2021-12-28,3,
LOG-16517,AC-0070,TECH-0010,Software Update,pending,732,14.4,2021-12-28,0,Issue found during inspection — escalated
LOG-16518,AC-0069,TECH-0137,Avionics Check,complete,9885,2.2,2021-12-28,1,Replaced worn components — within tolerance
LOG-16519,AC-0104,TECH-0039,Engine Inspection,in_progress,14575,14.6,2021-12-28,9,Scheduled maintenance — no anomalies
LOG-16520,AC-0029,TECH-0131,Avionics Check,complete,9130,1.3,2021-12-28,5,Part ordered — awaiting delivery
LOG-16521,AC-0048,TECH-0108,Structural Inspection,complete,6636,10.4,2021-12-28,5,Routine check completed successfully
LOG-16522,AC-0094,TECH-0069,Software Update,complete,2422,6.8,2021-12-28,6,All systems nominal post-maintenance
LOG-16523,AC-0079,TECH-0007,Engine Inspection,in_progress,20350,21.4,2021-12-28,4,All systems nominal post-maintenance
LOG-16524,AC-0117,TECH-0140,Software Update,failed,1692,18.3,2021-12-28,10,Emergency repair required — grounded aircraft
LOG-16525,AC-0144,TECH-0023,Structural Inspection,complete,6253,11.1,2021-12-28,1,All systems nominal post-maintenance
LOG-16526,AC-0138,TECH-0089,Structural Inspection,failed,6658,40.3,2021-12-28,1,Routine check completed successfully
LOG-16527,AC-0147,TECH-0191,Tire & Brake Replacement,complete,3983,13.6,2021-12-28,3,All systems nominal post-maintenance
LOG-16528,AC-0067,TECH-0017,Hydraulic System Repair,failed,16330,57.9,2021-12-28,0,Part ordered — awaiting delivery
LOG-16529,AC-0132,TECH-0078,Avionics Check,complete,10267,15.4,2021-12-28,9,Replaced worn components — within tolerance
LOG-16530,AC-0075,TECH-0192,Avionics Check,failed,13631,29.3,2021-12-28,9,Emergency repair required — grounded aircraft
LOG-16531,AC-0028,TECH-0065,Tire & Brake Replacement,complete,4722,13.9,2021-12-28,10,Emergency repair required — grounded aircraft
LOG-16532,AC-0121,TECH-0086,Avionics Check,complete,6989,13.2,2021-12-28,1,Replaced worn components — within tolerance
LOG-16533,AC-0009,TECH-0028,Tire & Brake Replacement,complete,2756,2.2,2021-12-28,9,
LOG-16534,AC-0134,TECH-0058,Structural Inspection,complete,4640,10.7,2021-12-28,0,
LOG-16535,AC-0123,TECH-0018,Fuel System Check,complete,2135,3.3,2021-12-28,7,Emergency repair required — grounded aircraft
LOG-16536,AC-0049,TECH-0110,Software Update,complete,1160,11.2,2021-12-28,11,Issue found during inspection — escalated
LOG-16537,AC-0091,TECH-0121,Engine Inspection,pending,14995,18.7,2021-12-28,3,Emergency repair required — grounded aircraft
LOG-16538,AC-0125,TECH-0044,Software Update,complete,1799,3.5,2021-12-28,9,Replaced worn components — within tolerance
LOG-16539,AC-0076,TECH-0064,Software Update,in_progress,1784,9.4,2021-12-28,11,Part ordered — awaiting delivery
LOG-16540,AC-0150,TECH-0037,Avionics Check,in_progress,8289,18.4,2021-12-28,3,Follow-up inspection required within 30 days
LOG-16541,AC-0104,TECH-0003,Avionics Check,pending,14525,5.5,2021-12-28,1,Replaced worn components — within tolerance
LOG-16542,AC-0149,TECH-0014,Fuel System Check,failed,1735,49.0,2021-12-28,2,Replaced worn components — within tolerance
LOG-16543,AC-0033,TECH-0135,Engine Inspection,complete,20997,5.2,2021-12-28,10,Emergency repair required — grounded aircraft
LOG-16544,AC-0053,TECH-0145,Software Update,failed,2802,57.5,2021-12-28,0,Scheduled maintenance — no anomalies
LOG-16545,AC-0040,TECH-0198,Tire & Brake Replacement,complete,4039,11.9,2021-12-28,7,Follow-up inspection required within 30 days
LOG-16546,AC-0018,TECH-0083,Engine Inspection,complete,10139,9.9,2021-12-29,7,Replaced worn components — within tolerance
LOG-16547,AC-0013,TECH-0167,Tire & Brake Replacement,complete,4450,8.3,2021-12-29,3,Routine check completed successfully
LOG-16548,AC-0074,TECH-0133,Avionics Check,pending,8010,16.2,2021-12-29,3,Routine check completed successfully
LOG-16549,AC-0096,TECH-0079,Hydraulic System Repair,complete,7360,1.6,2021-12-29,11,Scheduled maintenance — no anomalies
LOG-16550,AC-0105,TECH-0052,Avionics Check,complete,14419,9.1,2021-12-29,10,Part ordered — awaiting delivery
LOG-16551,AC-0131,TECH-0109,Avionics Check,complete,9997,15.8,2021-12-29,10,Scheduled maintenance — no anomalies
LOG-16552,AC-0150,TECH-0026,Fuel System Check,complete,3500,11.0,2021-12-29,3,
LOG-16553,AC-0067,TECH-0167,Structural Inspection,in_progress,4004,5.9,2021-12-29,11,
LOG-16554,AC-0033,TECH-0173,Landing Gear Service,complete,7705,9.0,2021-12-29,7,Emergency repair required — grounded aircraft
LOG-16555,AC-0002,TECH-0077,Tire & Brake Replacement,complete,2879,4.6,2021-12-29,0,All systems nominal post-maintenance
LOG-16556,AC-0075,TECH-0031,Tire & Brake Replacement,complete,2280,13.0,2021-12-29,1,Follow-up inspection required within 30 days
LOG-16557,AC-0074,TECH-0151,Avionics Check,complete,8375,7.1,2021-12-29,0,Part ordered — awaiting delivery
LOG-16558,AC-0135,TECH-0040,Structural Inspection,complete,4164,13.4,2021-12-29,3,Replaced worn components — within tolerance
LOG-16559,AC-0143,TECH-0032,Fuel System Check,complete,4782,2.8,2021-12-29,11,Scheduled maintenance — no anomalies
LOG-16560,AC-0026,TECH-0101,Landing Gear Service,complete,10937,4.8,2021-12-29,9,Emergency repair required — grounded aircraft
LOG-16561,AC-0139,TECH-0004,Software Update,complete,1995,12.8,2021-12-29,4,Part ordered — awaiting delivery
LOG-16562,AC-0128,TECH-0081,Structural Inspection,complete,6302,4.3,2021-12-29,8,Emergency repair required — grounded aircraft
LOG-16563,AC-0027,TECH-0084,Software Update,complete,2363,8.5,2021-12-29,10,Part ordered — awaiting delivery
LOG-16564,AC-0135,TECH-0174,Structural Inspection,complete,6618,12.4,2021-12-29,10,
LOG-16565,AC-0129,TECH-0075,Hydraulic System Repair,complete,8326,3.1,2021-12-29,10,All systems nominal post-maintenance
LOG-16566,AC-0021,TECH-0042,Fuel System Check,complete,3455,3.4,2021-12-29,8,
LOG-16567,AC-0079,TECH-0097,Engine Inspection,complete,14927,8.0,2021-12-29,5,Scheduled maintenance — no anomalies
LOG-16568,AC-0094,TECH-0167,Engine Inspection,complete,15086,9.4,2021-12-29,1,Issue found during inspection — escalated
LOG-16569,AC-0008,TECH-0198,Structural Inspection,complete,6825,4.0,2021-12-29,6,Routine check completed successfully
LOG-16570,AC-0083,TECH-0103,Software Update,complete,1830,12.6,2021-12-29,0,
LOG-16571,AC-0003,TECH-0184,Fuel System Check,complete,1690,10.4,2021-12-29,6,Emergency repair required — grounded aircraft
LOG-16572,AC-0055,TECH-0047,Fuel System Check,in_progress,1918,22.3,2021-12-29,1,
LOG-16573,AC-0143,TECH-0166,Engine Inspection,complete,8053,8.4,2021-12-29,0,
LOG-16574,AC-0036,TECH-0018,Avionics Check,complete,13945,13.6,2021-12-29,6,Emergency repair required — grounded aircraft
LOG-16575,AC-0006,TECH-0002,Hydraulic System Repair,complete,9487,2.8,2021-12-29,8,Replaced worn components — within tolerance
LOG-16576,AC-0121,TECH-0105,Hydraulic System Repair,in_progress,10564,16.5,2021-12-29,3,Scheduled maintenance — no anomalies
LOG-16577,AC-0042,TECH-0102,Engine Inspection,failed,8337,22.5,2021-12-29,0,Part ordered — awaiting delivery
LOG-16578,AC-0050,TECH-0182,Tire & Brake Replacement,in_progress,2507,27.2,2021-12-29,1,
LOG-16579,AC-0112,TECH-0088,Tire & Brake Replacement,pending,3639,17.5,2021-12-29,1,Routine check completed successfully
LOG-16580,AC-0146,TECH-0158,Engine Inspection,complete,12344,3.1,2021-12-29,0,Issue found during inspection — escalated
LOG-16581,AC-0050,TECH-0004,Hydraulic System Repair,pending,13009,8.3,2021-12-29,11,Scheduled maintenance — no anomalies
LOG-16582,AC-0030,TECH-0007,Tire & Brake Replacement,complete,1136,6.2,2021-12-29,1,Emergency repair required — grounded aircraft
LOG-16583,AC-0039,TECH-0057,Tire & Brake Replacement,complete,3048,5.8,2021-12-29,1,
LOG-16584,AC-0116,TECH-0030,Tire & Brake Replacement,complete,4893,9.0,2021-12-29,2,Replaced worn components — within tolerance
LOG-16585,AC-0140,TECH-0172,Structural Inspection,complete,9625,8.5,2021-12-29,8,Emergency repair required — grounded aircraft
LOG-16586,AC-0059,TECH-0157,Software Update,in_progress,2540,30.0,2021-12-29,3,All systems nominal post-maintenance
LOG-16587,AC-0076,TECH-0090,Fuel System Check,complete,3623,5.1,2021-12-29,5,Routine check completed successfully
LOG-16588,AC-0132,TECH-0036,Structural Inspection,complete,2146,15.1,2021-12-29,4,All systems nominal post-maintenance
LOG-16589,AC-0048,TECH-0099,Structural Inspection,complete,6625,5.9,2021-12-29,9,
LOG-16590,AC-0142,TECH-0113,Software Update,complete,733,7.2,2021-12-29,6,Scheduled maintenance — no anomalies
LOG-16591,AC-0081,TECH-0176,Software Update,complete,1026,6.7,2021-12-29,10,
LOG-16592,AC-0049,TECH-0147,Avionics Check,complete,10993,11.2,2021-12-30,11,All systems nominal post-maintenance
LOG-16593,AC-0067,TECH-0191,Structural Inspection,complete,5114,6.1,2021-12-30,9,Replaced worn components — within tolerance
LOG-16594,AC-0077,TECH-0002,Structural Inspection,complete,2971,8.8,2021-12-30,2,Follow-up inspection required within 30 days
LOG-16595,AC-0137,TECH-0142,Engine Inspection,failed,11519,14.8,2021-12-30,3,All systems nominal post-maintenance
LOG-16596,AC-0021,TECH-0113,Landing Gear Service,in_progress,5875,25.0,2021-12-30,6,Replaced worn components — within tolerance
LOG-16597,AC-0105,TECH-0100,Software Update,complete,2655,7.0,2021-12-30,11,Replaced worn components — within tolerance
LOG-16598,AC-0072,TECH-0104,Structural Inspection,complete,9457,11.4,2021-12-30,8,Routine check completed successfully
LOG-16599,AC-0016,TECH-0112,Structural Inspection,complete,9942,12.4,2021-12-30,1,Issue found during inspection — escalated
LOG-16600,AC-0144,TECH-0035,Fuel System Check,complete,5352,10.9,2021-12-30,10,
LOG-16601,AC-0028,TECH-0149,Landing Gear Service,complete,11693,13.1,2021-12-30,2,Replaced worn components — within tolerance
LOG-16602,AC-0080,TECH-0145,Tire & Brake Replacement,in_progress,2985,29.5,2021-12-30,7,Scheduled maintenance — no anomalies
LOG-16603,AC-0057,TECH-0082,Structural Inspection,pending,6083,7.9,2021-12-30,1,
LOG-16604,AC-0110,TECH-0032,Tire & Brake Replacement,complete,2447,6.5,2021-12-30,0,Emergency repair required — grounded aircraft
LOG-16605,AC-0052,TECH-0151,Landing Gear Service,in_progress,5709,18.1,2021-12-30,5,
LOG-16606,AC-0084,TECH-0134,Fuel System Check,complete,4450,12.2,2021-12-30,7,All systems nominal post-maintenance
LOG-16607,AC-0048,TECH-0029,Fuel System Check,complete,5087,13.6,2021-12-30,2,Issue found during inspection — escalated
LOG-16608,AC-0127,TECH-0063,Landing Gear Service,complete,11743,8.0,2021-12-30,10,Scheduled maintenance — no anomalies
LOG-16609,AC-0098,TECH-0198,Fuel System Check,complete,4352,13.3,2021-12-30,1,
LOG-16610,AC-0118,TECH-0125,Structural Inspection,pending,8232,15.0,2021-12-30,0,Emergency repair required — grounded aircraft
LOG-16611,AC-0093,TECH-0096,Avionics Check,complete,8062,4.2,2021-12-30,6,Replaced worn components — within tolerance
LOG-16612,AC-0067,TECH-0081,Software Update,complete,1304,13.3,2021-12-30,6,Emergency repair required — grounded aircraft
LOG-16613,AC-0074,TECH-0132,Structural Inspection,failed,2256,50.9,2021-12-30,3,All systems nominal post-maintenance
LOG-16614,AC-0084,TECH-0058,Avionics Check,in_progress,10170,27.0,2021-12-30,10,Emergency repair required — grounded aircraft
LOG-16615,AC-0010,TECH-0159,Tire & Brake Replacement,in_progress,3497,6.1,2021-12-30,5,Issue found during inspection — escalated
LOG-16616,AC-0145,TECH-0150,Structural Inspection,complete,5601,5.4,2021-12-30,9,
LOG-16617,AC-0118,TECH-0155,Fuel System Check,pending,2915,17.7,2021-12-30,6,Scheduled maintenance — no anomalies
LOG-16618,AC-0097,TECH-0118,Software Update,failed,2489,35.8,2021-12-30,10,All systems nominal post-maintenance
LOG-16619,AC-0006,TECH-0085,Avionics Check,failed,11426,70.5,2021-12-30,6,Issue found during inspection — escalated
LOG-16620,AC-0018,TECH-0084,Structural Inspection,complete,9720,10.5,2021-12-30,0,Emergency repair required — grounded aircraft
LOG-16621,AC-0072,TECH-0087,Fuel System Check,complete,3251,4.9,2021-12-30,6,Issue found during inspection — escalated
LOG-16622,AC-0089,TECH-0016,Hydraulic System Repair,complete,16888,2.3,2021-12-30,9,Follow-up inspection required within 30 days
LOG-16623,AC-0042,TECH-0006,Hydraulic System Repair,in_progress,17205,26.1,2021-12-30,9,
LOG-16624,AC-0004,TECH-0007,Landing Gear Service,complete,10086,10.1,2021-12-30,0,Scheduled maintenance — no anomalies
LOG-16625,AC-0020,TECH-0014,Engine Inspection,pending,18418,2.6,2021-12-30,10,Follow-up inspection required within 30 days
LOG-16626,AC-0028,TECH-0003,Hydraulic System Repair,complete,12396,3.8,2021-12-30,0,Part ordered — awaiting delivery
